"Name","TID","SubtitleTID","Arena","League","LeagueArenaSWF","LeagueArenaExportName","ChestArena","TvArena","IsInUse","TrainingCamp","PVEArena","LoseTrophyPercentage","LoseTrophyScore","WinTrophyPercentage","WinTrophyScore","TrophyLimit","DemoteTrophyLimit","ChestRewardMultiplier","ShopChestRewardMultiplier","RequestSize","MaxDonationCountCommon","MaxDonationCountRare","MaxDonationCountEpic","IconSWF","IconExportName","SmallIconExportName","MatchmakingMinTrophyDelta","MatchmakingMaxTrophyDelta","MatchmakingMaxSeconds","PvpLocation","TeamVsTeamLocation","ThreeVsThreeLocation","DailyDonationCapacityLimit","BattleRewardGold","ReleaseDate","DisableIn2v2","ReachedBoost","BoostTimeH","BgGlow","Glow","Water","WaterParamMapPostfix","BackgroundSWF","BackgroundExportName","BackgroundOverlayExportName","FixedTowerSkinSet","MinScale","LeagueBadgeOffsetY","ChestWildcardsEnabled","ChestWildcardPercent100Common","ChestWildcardPercent100Rare","ChestWildcardPercent100Epic","ChestWildcardPercent100Legendary","ChestWildcardPercent100Champion","RequiredKingLevel","TrophyRoad","CardMaxLevel"
"string","string","string","Int","int","string","string","string","string","boolean","boolean","boolean","int","int","int","int","int","int","int","int","int","int","int","int","string","string","string","int","int","int","String","String","String","int","int","String","boolean","string","int","boolean","boolean","boolean","String","String","String","String","String","int","int","boolean","int","int","int","int","int","int","String","int"
"TrainingCamp","TID_ARENA_TRAINING_CAMP","TID_INFO_ARENA_TRAINING_CAMP",0,,,,"TrainingCamp","TrainingCamp","TRUE","TRUE",,,,,,0,0,100,100,10,1,1,1,"sc/ui_arena.sc","arena_00",,0,100,60,"TrainingCamp","TeamVsTeam_training_camp",,90,0,,,,,"TRUE",,,,,,,,75,-40,,,,,,,,"Default",
"Arena1","TID_ARENA1","TID_INFO_ARENA1",1,,,,"Arena1","Arena1","TRUE",,,0,0,,,0,0,100,100,10,1,1,1,"sc/ui_arena.sc","arena_01",,20,100,60,"PvP_goblin","TeamVsTeam_goblin",,90,0,,,,,"TRUE","TRUE",,,,,,,75,-40,,,,,,,,"Default",
,,,,,,,,,,,,50,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena2","TID_ARENA2","TID_INFO_ARENA2",2,,,,"Arena2","Arena2","TRUE",,,50,300,,,300,300,135,100,10,2,1,1,"sc/ui_arena.sc","arena_02",,40,100,60,"PvP_bone","TeamVsTeam_bone",,90,0,,,,,"TRUE","TRUE",,,,,,,75,-40,,,,,,,2,"Default",
,,,,,,,,,,,,50,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena3","TID_ARENA3","TID_INFO_ARENA3",3,,,,"Arena3","Arena3","TRUE",,,100,600,,,600,600,170,100,10,2,1,1,"sc/ui_arena.sc","arena_03",,40,100,60,"PvP_barbarian","TeamVsTeam_barbarian",,90,0,,,,,"TRUE","TRUE",,,,,,,88,-40,,,,,,,3,"Default",
,,,,,,,,,,,,100,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena4","TID_ARENA4","TID_INFO_ARENA5",4,,,,"Arena4","Arena4","TRUE",,,100,1000,,,1000,1000,200,100,20,4,1,1,"sc/ui_arena.sc","arena_05",,40,100,60,"PvP_spell","TeamVsTeam_spell",,180,0,,,,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,4,"Default",
,,,,,,,,,,,,100,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena5","TID_ARENA5","TID_INFO_ARENA6",5,,,,"Arena5","Arena5","TRUE",,,100,1300,,,1300,1300,230,100,20,4,1,1,"sc/ui_arena.sc","arena_06",,40,100,60,"PvP_builder","TeamVsTeam_builder",,180,0,,,,,"TRUE","TRUE",,,,,,,80,-40,"TRUE",500,500,500,500,,5,"Default",
,,,,,,,,,,,,100,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena6","TID_ARENA6","TID_INFO_ARENA4",6,,,,"Arena6","Arena6","TRUE",,,100,1600,,,1600,1600,260,100,20,4,1,1,"sc/ui_arena.sc","arena_04",,40,100,60,"PvP_dark","TeamVsTeam_dark",,180,0,,,,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,6,"Default",
,,,,,,,,,,,,100,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena_L","TID_ARENA_L","TID_INFO_ARENA_L",10,,,,"Arena_L","Arena_L","TRUE",,,100,3000,,,3000,3000,380,100,40,8,1,1,"sc/ui_arena.sc","arena_legendary",,40,200,60,"PvP_legendary","TeamVsTeam_legendary",,360,0,,,,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,14,"Default",
,,,,,,,,,,,,100,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena7","TID_ARENA7","TID_INFO_ARENA7",7,,,,"Arena7","Arena7","TRUE",,,100,2000,,,2000,2000,290,100,30,6,1,1,"sc/ui_arena.sc","arena_07",,40,100,60,"PvP_royal","TeamVsTeam_royal","ThreeVsThree_royal",270,0,,,,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,8,"Default",
,,,,,,,,,,,,100,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena8","TID_ARENA8","TID_INFO_ARENA8",8,,,,"Arena8","Arena8","TRUE",,,100,2300,,,2300,2300,320,100,30,6,1,1,"sc/ui_arena.sc","arena_08",,40,100,60,"PvP_ice","TeamVsTeam_ice",,270,0,,,,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,10,"Default",
,,,,,,,,,,,,100,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena9","TID_ARENA9","TID_INFO_ARENA9",9,,,,"Arena9","Arena9","TRUE",,,100,2600,,,2600,2600,350,100,30,6,1,1,"sc/ui_arena.sc","arena_09",,40,100,60,"PvP_jungle","TeamVsTeam_jungle",,270,0,,,,,"TRUE","TRUE",,,,,,,88,-40,"TRUE",500,500,500,500,,12,"Default",
,,,,,,,,,,,,100,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena_T","TID_ARENA_SPOOKY","TID_INFO_ARENA_SPOOKY",12,,,,"Arena_T","Arena_T","TRUE",,,100,3800,,,3800,3800,440,100,40,8,1,1,"sc/ui_arena.sc","arena_spooky",,40,100,60,"PvP_spooky","TeamVsTeam_spooky",,360,0,,,,,"TRUE","TRUE",,,,,,,95,-40,"TRUE",500,500,500,500,,18,"Default",
,,,,,,,,,,,,100,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena_L1","TID_ARENA15","TID_INFO_ARENA15",15,,,,"Arena_L1","Arena_L1","TRUE",,,100,5000,,,5000,5000,530,100,40,8,1,1,"sc/ui_arena_icon_miner.sc","arena_miner",,40,200,60,"PvP_miner_arena","TeamVsTeam_miner_arena",,360,0,,"TRUE",,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,24,"Default",
,,,,,,,,,,,,100,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena_L2","TID_ARENA16","TID_INFO_ARENA16",16,,,,"Arena_L2","Arena_L2","TRUE",,,100,5500,,,5500,5500,540,100,40,8,1,1,"sc/ui_arena_icon_executioner_kitchen.sc","arena_executioner_kitchen",,40,200,60,"PvP_executioner_kitchen","TeamVsTeam_executioner_kitchen",,360,0,,"TRUE",,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,24,"Default",
,,,,,,,,,,,,100,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena_L3","TID_ARENA17","TID_INFO_ARENA17",17,,,,"Arena_L3","Arena_L3","TRUE",,,100,6000,,,6000,6000,550,100,40,8,1,1,"sc/ui_arena_icon_season_17.sc","arena_tomb_season",,40,200,60,"PvP_tomb_arena","TeamVsTeam_tomb_arena",,360,0,,"TRUE",,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,24,"Default",
,,,,,,,,,,,,100,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena_L4","TID_ARENA18","TID_INFO_ARENA18",18,,,,"Arena_L4","Arena_L4","TRUE",,,100,6500,,,6500,6500,560,100,40,8,1,1,"sc/ui_arena_icon_monk.sc","arena_monk",,40,200,60,"PvP_monk_arena","TeamVsTeam_monk_arena",,360,0,,"TRUE",,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,24,"Default",
,,,,,,,,,,,,100,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena_L5","TID_ARENA19","TID_INFO_ARENA19",19,,,,"Arena_L5","Arena_L5","TRUE",,,100,7000,,,7000,7000,570,100,40,8,1,1,"sc/ui_arena_icon_season_11.sc","arena_dragon_season",,40,200,60,"PvP_dragon_arena","TeamVsTeam_dragon_arena",,360,0,,"TRUE",,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,24,"Default",
,,,,,,,,,,,,100,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena_L6","TID_ARENA20","TID_INFO_ARENA20",20,,,,"Arena_L6","Arena_L6","TRUE",,,100,7500,,,7500,7500,580,100,40,8,1,1,"sc/ui_arena_icon_bootcamp.sc","arena_bootcamp",,40,200,60,"PvP_bootcamp_arena","TeamVsTeam_bootcamp_arena",,360,0,,"TRUE",,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,24,"Default",
,,,,,,,,,,,,100,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena_L7","TID_ARENA21","TID_INFO_ARENA21",21,,,,"Arena_L7","Arena_L7","TRUE",,,100,8000,,,8000,8000,590,100,40,8,1,1,"sc/ui_arena_icon_clash_fest.sc","arena_clashfest",,40,200,60,"PvP_clash_fest_arena","TeamVsTeam_clash_fest_arena",,360,0,,"TRUE",,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,24,"Default",
,,,,,,,,,,,,100,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena_L8","TID_ARENA22","TID_INFO_ARENA22",22,,,,"Arena_L8","Arena_L8","TRUE",,,100,8500,,,8500,8500,600,100,40,8,1,1,"sc/ui_arena_icon_pancakes.sc","arena_pancakes",,40,200,60,"PvP_pancakes_arena","TeamVsTeam_pancakes_arena",,360,0,,"TRUE",,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,24,"Default",
,,,,,,,,,,,,100,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arena_L9","TID_ARENA23","TID_INFO_ARENA23_2",23,,,,"Arena_L9","Arena_L9","TRUE",,,100,9000,,,9000,9000,610,100,40,8,1,1,"sc/ui_arena_icon_valhala.sc","arena_valhalla_icon",,40,200,60,"PvP_valhalla_arena","TeamVsTeam_valhalla_arena",,360,0,,"TRUE",,,"TRUE","TRUE",,,,,,,75,-40,"TRUE",500,500,500,500,,24,"Default",
,,,,,,,,,,,,100,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArenaPvE","TID_ARENA_TRAINING_CAMP","TID_INFO_ARENA_TRAINING_CAMP",0,,,,"TrainingCamp","TrainingCamp","FALSE","TRUE","TRUE",,,,,0,0,100,100,10,1,1,1,"sc/ui_arena.sc","arena_00",,0,100,60,"PvE_training","TeamVsTeam_champion",,360,0,,"TRUE",,,"TRUE",,,,,,,,75,-40,,,,,,,,,
