"Name","TID","DescriptionTID","Type","IsEnabled","OwnedByDefault","AssetScFile","AssetExportName","UsedInBox","IsAnimated"
"String","String","String","String","boolean","boolean","String","String","String","boolean"
"DefaultYellowBG1","TID_BANNER_NAME_DEFAULT_BG_BB00085","TID_BANNER_DESC_DEFAULT_BG_BB00085","Background","TRUE","TRUE","sc/ui_battle_banners.sc","banner_bg_default_yellow",,
"DefaultYellowFG1","TID_BANNER_NAME_DEFAULT_FG_BB00085","TID_BANNER_DESC_DEFAULT_FG_BB00085","Foreground","TRUE","TRUE","sc/ui_battle_banners.sc","banner_fg_default_yellow",,
"DefaultGreenBG2","TID_BANNER_NAME_DEFAULT_BG_BB00087","TID_BANNER_DESC_DEFAULT_BG_BB00087","Background","TRUE","TRUE","sc/ui_battle_banners.sc","banner_bg_default_green",,
"DefaultGreenFG2","TID_BANNER_NAME_DEFAULT_FG_BB00087","TID_BANNER_DESC_DEFAULT_FG_BB00087","Foreground","TRUE","TRUE","sc/ui_battle_banners.sc","banner_fg_default_green",,
"DefaultPurpleBG3","TID_BANNER_NAME_DEFAULT_BG_BB00086","TID_BANNER_DESC_DEFAULT_BG_BB00086","Background","TRUE","TRUE","sc/ui_battle_banners.sc","banner_bg_default_purple",,
"DefaultPurpleFG3","TID_BANNER_NAME_DEFAULT_FG_BB00086","TID_BANNER_DESC_DEFAULT_FG_BB00086","Foreground","TRUE","TRUE","sc/ui_battle_banners.sc","banner_fg_default_purple",,
"MegaKnightTeaTimeBG","TID_BANNER_NAME_BG_BB00001","TID_BANNER_DESC_BG_BB00001","Background","TRUE","FALSE","sc/BB00001_full_mega_knight_tea_time_dl.sc","banner_bg","Season 37_Box1",
"MegaKnightTeaTimeFG","TID_BANNER_NAME_FG_BB00001","TID_BANNER_DESC_FG_BB00001","Foreground","TRUE","FALSE","sc/BB00001_full_mega_knight_tea_time_dl.sc","banner_fg","Season 37_Box1",
"BonePitGiantSkeletonBG","TID_BANNER_NAME_BG_BB00003","TID_BANNER_DESC_BG_BB00003","Background","TRUE","FALSE","sc/BB00003_full_BonePitGiantSkeleton_dl.sc","banner_bg","Season 37_Box1",
"BonePitGiantSkeletonFG","TID_BANNER_NAME_FG_BB00003","TID_BANNER_DESC_FG_BB00003","Foreground","TRUE","FALSE","sc/BB00003_full_BonePitGiantSkeleton_dl.sc","banner_fg","Season 37_Box1",
"MiniPekkaBG","TID_BANNER_NAME_BG_BB00014","TID_BANNER_DESC_BG_BB00014","Background","TRUE","FALSE","sc/BB00014_full_MiniPekka_dl.sc","banner_bg","Season 37_Box1",
"MiniPekkaFG","TID_BANNER_NAME_FG_BB00014","TID_BANNER_DESC_FG_BB00014","Foreground","TRUE","FALSE","sc/BB00014_full_MiniPekka_dl.sc","banner_fg","Season 37_Box1",
"CloudsPrinceBG","TID_BANNER_NAME_BG_BB00064","TID_BANNER_DESC_BG_BB00064","Background","TRUE","FALSE","sc/BB00064_full_clouds_prince_dl.sc","banner_bg","Season 37_Box1",
"CloudsPrinceFG","TID_BANNER_NAME_FG_BB00064","TID_BANNER_DESC_FG_BB00064","Foreground","TRUE","FALSE","sc/BB00064_full_clouds_prince_dl.sc","banner_fg","Season 37_Box1",
"DartGoblinBG","TID_BANNER_NAME_BG_BB00065","TID_BANNER_DESC_BG_BB00065","Background","TRUE","FALSE","sc/BB00065_full_dart_goblin_dl.sc","banner_bg","Season 37_Box1",
"DartGoblinFG","TID_BANNER_NAME_FG_BB00065","TID_BANNER_DESC_FG_BB00065","Foreground","TRUE","FALSE","sc/BB00065_full_dart_goblin_dl.sc","banner_fg","Season 37_Box1",
