"Name",0
"String","boolean"
"Lauri Ahlgren",
"Toni Aittoniemi",
"Seth Allison",
"Jesper Altrén",
"John Atkinson",
"James Back",
"Richard Bangs",
"Vicent Boned",
"Dan Bonett",
"Bao Cai",
"Javier Calvo",
"Maxime Cambier",
"Paolo Carabaich",
"Fei Chang",
"Mariia Chernova",
"Jerry Chi",
"Thea Chow",
"John Cipriani",
"Patrick Corander",
"Sean Cornejo",
"Rick Crane",
"Niko Derome",
"Maria J. Dias",
"Marko Drvarič",
"Jonathan Dower",
"Gabriel Caramelo Eccher",
"Stefan Engblom",
"Jussi Ernsten",
"Rodrigo Estero De Haro",
"Taylor Fales",
"Fan Fang",
"Tingting Fang",
"André Forni",
"Visa Forsten",
"Joao Freitas",
"Laura Gilliland",
"Miha Glavic",
"Dominique Gomes",
"Andrew Gordon",
"Raimo Gratseff",
"Tommi Hakala",
"Jamie Halewood",
"Ari Hamara",
"Jussi Hanski",
"David Hart",
"Drew Haycock",
"Fredrik Herneoja",
"Jaakko Holopainen",
"Hrvoje Horbec",
"Charlie Hsu",
"Chih-Han Hsu",
"Ming Hua",
"Donghang Huang",
"Juuso Huttunen",
"Lauri Ikonen",
"Atte Järvinen",
"Jeff Jiang",
"Tianshunzi Jiang",
"Eino Joas",
"Janne Juhola",
"Essi Jukkala",
"Katariina Kaita",
"Katerina Kaltampani",
"Lyosha Kalibin",
"Saara Kämäräinen",
"Jarmo Kauko",
"Matias Kirvelä",
"Rene Kivioja",
"Jonas Koli",
"Antti Koljonen",
"Oyku Kural",
"Rauli Laatikainen",
"Manuel Langegger",
"Brice Laville Saint-Martin",
"Wook-Jin Lee",
"Ilkka Leino",
"Lassi Leppinen",
"Jani Lintunen",
"Julio Lopez",
"Semyon Alexander Markkanen",
"Aleksandar Markovic",
"Adam Massey",
"Tom McIntyre",
"Matt Millwood",
"André Miranda",
"Graham Morriss",
"Avik Mullick",
"Liza Navarro",
"Dariya Nonezova",
"Soner Ocak",
"Taneli Oksama",
"Basak Daglioglu Ozturk",
"Matti Palosuo",
"Ilya Pavlenkov",
"Mia (Miriam Pinto)",
"Valtteri Pirttilä",
"Ziqin Qu",
"Adam Rademacher",
"Meri-Tuulia Rautavuori",
"Sebastian Riikonen",
"Riku Rikala",
"Devon Rule",
"Emilia Russell",
"Heikki Salokanto",
"Jere Sanisalo",
"Pekka Sarkimo",
"Pauli Savolainen",
"Martin Schjøler",
"Mika Seppä",
"Jarno Seppänen",
"Steven Spencer",
"Timothy Smith",
"Donald Smith Jr.",
"Petri Styrman",
"Antti Summala",
"Qianyue Sun",
"Jules Swanson",
"Nora Swithenbank",
"Tang Lich Van",
"Yusuke Taniura",
"Tatu Teittinen",
"Arto Tervo",
"Erol Tekkanat",
"Ewan Thonger",
"Wilhelm Tigerstedt",
"Lotta Tiitto",
"Tibor Toth",
"Jouni Utriainen",
"Jussi Viiri",
"Valtter Vihervuori",
"Varun",
"Nadya Volchetskaya",
"Pavel Volkov",
"Tuomas Volotinen",
"Kustaa Vuori",
"Marcus Wagenführ",
"Lauri Warsta",
"Zhang Xin",
"McCoy Xu",
"Yuzhi Yao (Nino)",
"Yuri Yoshimura",
"Chaohua Yuan",
"Iwo Zakowski",
"Shuai Zhang",
"Yong Zhang",
"Ziye Zhao",
"-",
"Michael Gurman",
"Timo Heinäpurola",
"Mikko Hokkanen",
"Lucas Kominek",
"Daniel Iosca",
"Kim Jensen",
"Mikko Lehtonen",
"Lasse Louhento",
"Antti Mattila",
"Douglas Portugal",
"Asko Puurula",
"Eric Reimer",
"Jannica Routamo",
"Hayato Sekiguchi",
"Ville Suur-Uski",
"Stijn Tops",
