"Name","ParticleCount","MinLife","MaxLife","ParticleMinInterval","ParticleMaxInterval","ParticleMinLife","ParticleMaxLife","ParticleMinAngle","ParticleMaxAngle","ParticleAngleRelativeToParent","ParticleRandomAngle","ParticleMinRadius","ParticleMaxRadius","ParticleMinSpeed","ParticleMaxSpeed","ParticleStartXYAreaRadius","ParticleStartX","ParticleStartZ","ParticleMinVelocityZ","ParticleMaxVelocityZ","ParticleGravity","ParticleMinTailLength","ParticleMaxTailLength","ParticleResource","ParticleExportName","RotateToDirection","LoopParticleClip","StartScale","EndScale","FadeInDuration","FadeOutDuration","Inertia","EnemyVersion","NoBounce","StopOnBounce","RandomScale","NoLowEndOptimization","SortingOffset","Shadow","AngularSpeed","ShadowMulR","ShadowMulG","ShadowMulB","ShadowMulA","ShadowYShift","InverseSpeed","ParticleMinSpawnAngle","ParticleMaxSpawnAngle","TrailMaxPoints","TrailDuration","TrailSWF","TrailExportName","SpecialEffect","FrameFromAngle","RotateMinSpeed","RotateMaxSpeed","IgnoreShadowFlip","ResourceFromAngle","Modifiers","ParticleRadiusAspect","ParticleSpecificEmitter","ParticleSpecificFollow","PlayParticleClipOnce"
"string","int","int","int","int","int","int","int","int","int","boolean","boolean","int","int","int","int","int","int","int","int","int","int","int","int","string","string","boolean","boolean","int","int","int","int","int","string","boolean","boolean","int","boolean","int","boolean","int","int","int","int","int","int","boolean","int","int","int","int","string","string","string","boolean","int","int","boolean","boolean","string","int","string","boolean","boolean"
"Arrows Hit Ground",1,1,200,,,1500,1900,,,,"true",,,,,,,,,,,,,"sc/effects.sc","Arrow_enemy_ground_anim_1",,"true",,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Arrow_enemy_ground_anim_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Arrow_enemy_ground_anim_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Arrow_enemy_ground_anim_4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Arrow_enemy_ground_anim_5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Arrow_enemy_ground_anim_6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FireRingEmitter",16,120,250,,,200,550,100,360,,"true",-1,2,60,120,,,,10,150,,60,200,"sc/effects.sc","FireParticle1",,,110,50,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PoisonSteamer",5,,,50,200,600,3000,180,270,,"true",,,1,5,,,30,5,6,-900,,,"sc/effects.sc","poisoncloud_small",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HitEffectParticles",20,100,100,,10,150,200,1,360,,"true",2,2,300,350,,,,60,100,,100,150,"sc/effects.sc","Sparkle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BlueSparkEmitter",10,150,150,,10,200,350,,360,,"true",,,,500,,,,200,200,,100,300,"sc/effects.sc","SparkleBlue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BlueSparksEmitter",8,100,5000,10,40,300,600,,160,,"true",-25,25,10,100,,,,20,100,300,,,"sc/effects.sc","SparkleBlue",,,200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FlameArrowEmitter_small",10,1,1,1,50,200,500,,,,,,,,,,,29,90,100,,,,"sc/effects.sc","FireParticle1_small",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2_small",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3_small",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rock Pieces Emitter",17,400,400,,5,800,1200,,360,,"true",4,6,30,150,,,20,100,250,-2000,,,"sc/effects.sc","Rock1Particle",,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HotCoals_sparks",4,100,5000,,50,300,800,,360,,"true",7,7,10,80,,,,10,100,500,,,"sc/effects.sc","SparkleBlue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DragSparkEmitter",30,500,500,,40,300,400,90,90,"true",,2,2,100,200,,,35,,,,,,"sc/effects.sc","SparkleBlueOffset1","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fireball_explosion_smoke",34,100,100,1,1,1500,2300,,360,,"true",3,7,10,15,,,14,20,30,10,,,"sc/effects.sc","explosion_cloud_1","true","true",100,120,,1500,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
