"Name","BankName","EventName"
"string","string","string"
"60sec_warn_01","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_60s_warn"
"30sec_warn_01","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_30s_warn"
"ScrollAmb01","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_scroll_amb_1"
"Menu swipe","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_swipe"
"Menu updown swipe","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_updown_swipe"
"Countdown_10","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_countdown_10"
"Countdown_9","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_countdown_9"
"Countdown_8","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_countdown_8"
"Countdown_7","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_countdown_7"
"Countdown_6","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_countdown_6"
"Countdown_5","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_countdown_5"
"Countdown_4","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_countdown_4"
"Countdown_3","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_countdown_3"
"Countdown_2","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_countdown_2"
"Countdown_1","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_countdown_1"
"ButtonClick","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_buttonclick"
"ButtonClick2","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_buttonclick_2"
"AttackButton","soundbanks/ui_menu_general.bank","event:/Main/UI/Menu/ui_menu_general/ui_menu_general_jingle/ui_menu_general_jingle_attackbutton"
"SpellCasting","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_spellcasting"
"CharacterDeploy","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_character_deploy"
"Arrow fire","soundbanks/card_common_arrow.bank","event:/Main/Card/Common/card_common_arrow/card_common_arrow_fire"
"Fire ball","soundbanks/card_rare_fireball.bank","event:/Main/Card/Rare/card_rare_fireball/card_rare_fireball_cast"
"Fire ball explo","soundbanks/card_rare_fireball.bank","event:/Main/Card/Rare/card_rare_fireball/card_rare_fireball_explo"
"Arrow volley hit","soundbanks/card_common_arrow.bank","event:/Main/Card/Common/card_common_arrow/card_common_arrow_volley hit"
"Spell available","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_spell_available"
"Legendary spell available","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_legendary_spell_available"
"Select legendary spell","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_select_legendary_spell"
"Spell not ready","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_spell_not_ready"
"Boulder impact","soundbanks/uncategorized.bank","event:/Main/Uncategorized/boulder_impact"
"Select spell","soundbanks/ui_battle_general.bank","event:/Main/UI/Battle/ui_battle_general/ui_battle_general_select_spell"
