"Name","IconSWF","IconFile","HighresPlaceholderAsset","HighresImageFilename","UnlockArena","UnlockLevel","Rarity","NotVisible","Tribe","ManaCost","PrestigeCount","ManaCostFromSummonerMana","NotInUse","Mirror","CustomDeployTime","IsAGroup","SummonCharacter","SummonNumber","SummonCharacterLevelIndex","SummonCharacterSecond","SummonCharacterSecondCount","SummonRadius","SummonWidth","SummonDeployDelay","SummonDeployDelaySecond","CharacterSkin","CharacterSkin2","Radius","Height","Projectile","ProjectileInterval","ProjectileAngle","ProjectileWaves","ProjectileWaveInterval","SpellAsDeploy","CanPlaceOnBuildings","CanPlaceOnWater","InstantDamage","DurationSeconds","InstantHeal","HealPerSecond","Effect","Pushback","MultipleProjectiles","CustomFirstProjectile","BuffTime","BuffTimeIncreasePerLevel","BuffNumber","BuffType","BuffOnDamage","OnlyOwnTroops","OnlyEnemies","CanDeployOnEnemySide","TouchdownLimitedDeploy","CastSound","AreaEffectObject","TID","TID_INFO","IndicatorFileName","IndicatorEffect","IndicatorPrestigeSWF","IndicatorPrestigeExportName","IndicatorPrestigeExportName2","IndicatorPrestigeExportName3","HideRadiusIndicator","DestIndicatorEffect","ReleaseDate","ElixirProductionStopTime","DarkMirror","StatsUnderInfo","HeroAbility","PassiveAbility","HPModifier","DamageModifier","DeployWTileMargin","FullLaneDeploy","AbilityCooldown","DeployStartY","DeployEndY","PveDefenseType","TypeOfSpell","EvolvedSpells","DarkElixirCost","TargetIndicatorType","EvoShardImageScale","EvoShardImageXOffset","EvoShardImageYOffset"
"string","string","string","string","string","string","int","string","boolean","String","int","int","boolean","boolean","boolean","int","boolean","string","int","int","string","int","int","int","int","int","string","string","int","int","string","int","int","int","int","boolean","boolean","boolean","int","int","int","int","string","int","int","string","int","int","int","string","string","boolean","boolean","boolean","boolean","string","string","string","string","String","String","string","string","string","string","boolean","String","String","int","boolean","boolean","String","String","int","int","int","boolean","int","int","int","string","string","string","int","string","float","float","float"
"Knight_EV1",,"knight_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/knight_evolution_dl.png","TrainingCamp",,"Common",,"Kingdom",3,3,,,,,,"Knight_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_EVO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,2,,1,,
"Archer_EV1",,"archer_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/archer_evolution_dl.png","TrainingCamp",,"Common",,"Village",3,2,,,,,,"Archer_EV1",2,,,,,,100,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_ARCHERS","TID_SPELL_INFO_EVO_ARCHERS",,,,,,,,,,,,,,,,,,,,,,"Range",,,2,,1,,
"Goblins_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,2,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Giant_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,5,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Pekka_EV1",,"Pekka_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/pekka_evolution_dl.png","Arena6",,"Epic",,,7,2,,,,,,"Pekka_EV1",1,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_PEKKA","TID_SPELL_INFO_EVO_PEKKA",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Minions_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,3,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Balloon_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,5,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Witch_EV1","sc/ui_card_witch_evolution.sc","witch_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/witch_evolution.png","Arena_L10",,"Epic",,,5,2,,,,,,"Witch_EV1",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_WITCH","TID_SPELL_INFO_EVO_WITCH",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Barbarians_EV1",,"barbarian_evolution_card","sc/ui_card_info_fx.sc#card_info_fx_evolution","image/chr_evolution/barbarian_evolution_dl.png","Arena3",,"Common",,,5,2,,,,,,"Barbarian_EV1",5,,,,700,,100,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_BARBARIANS","TID_SPELL_INFO_EVO_BARBARIAN",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
"Golem_EV1",,"knight","sc/ui_card_info_fx.sc#card_info_fx_common",,"Arena_L10",,"Common","TRUE",,8,3,,"TRUE",,,,"Knight",,,,,,,,,,,,,,,,,,,,,,,,,"CharacterDeploy",,,,,,,,,,,,,,,"TID_SPELL_KNIGHT","TID_SPELL_INFO_KNIGHT",,,,,,,,,,,,,,,,,,,,,,"Defender",,,1,,1,,
