"Name","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS","TH","FI","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_ACHIEVEMENT_INFO_CLAN","Join a Clan","Rejoindre un clan","Tritt einem Clan bei.","Únete a un clan","Unisciti a un clan","Sluit je aan bij een clan","Bli med i en klan","Bir Klana katıl","クランに参加する","클랜 가입","Вступить","انضمام إلى قبيلة","Entre num clã.","加入一个部落","加入一個部落","پیوستن به یک قبیله","Gabung ke Klan","Sertai Klan","เข้าร่วมแคลน","Liity klaaniin.","Gia nhập Hội"
"TID_CHEST_INFO_GOLD","<MIN> – <MAX>","<MIN> – <MAX>","<MIN>–<MAX>","<MIN>–<MAX>","<MIN> - <MAX>","<MIN> – <MAX>","<MIN>–<MAX>","<MIN> – <MAX>","<MIN>～<MAX>","<MIN>~<MAX>","<MIN>–<MAX>","<MIN> – <MAX>","<MIN> a <MAX>","<MIN> - <MAX>","<MIN> - <MAX>","<MIN> – <MAX>","<MIN>–<MAX>","<MIN> – <MAX>","<MIN> – <MAX>","<MIN>–<MAX>","<MIN> - <MAX>"
"TID_CLAN_WAR_EVENT_POPUP_HINT_MIRROR_MODE","Play with a premade deck.","Jouez avec un deck préconçu.","Spiele mit einem vorgefertigten Deck.","Juega con un mazo ya armado.","Gioca con un mazzo predefinito.","Speel met een vooraf samengestelde set.","Spill med kort som er bestemt på forhånd.","Hazır bir desteyle oyna.","あらかじめ作られたデッキでプレイします。","미리 만들어진 덱으로 플레이하세요!","Играй готовой колодой.","العب بمجموعة معركة معدة مسبقًا.","Jogue com um deck predefinido.","使用系统提前配置好的卡组进行对战。","使用系統提前組建好的牌組進行對戰。","با دسته نبرد پیش‌ساخته‌ای بازی کن.","Main dengan dek yang telah disusun.","Main dengan dek pracipta.","เล่นด้วยสำรับสำเร็จรูป","Pelaa valmiiksi luodulla pakalla.","Chơi với bộ thẻ được tạo sẵn."
"TID_CLAN_WAR_GAME_MODE_INFO_1V1_CLASSIC_DECKS","Play with a premade Classic Deck!","Jouez avec un deck classique préconçu !","Spiele mit einem vorgefertigten klassischen Deck!","¡Juega con uno de los mazos clásicos!","Gioca con un mazzo classico predefinito.","Speel met een vooraf samengestelde klassieke set.","Spill med klassiske kampkort som er bestemt på forhånd!","Hazır bir Klasik Desteyle oyna!","クラシックデッキでプレイします！","미리 만들어진 클래식 덱으로 플레이하세요!","Играй готовой классической колодой!","العب بمجموعة معركة تقليدية معدة مسبقًا!","Jogue com um deck predefinido clássico!","使用系统提前配置好的经典卡组进行对战！","使用系統提前組建好的經典牌組進行對戰！","با دستِ نبرد پیش‌ساخته‌ کلاسیک بازی کن!","Main dengan Dek Klasik yang telah disusun!","Main dengan Dek Klasik pracipta!","เล่นด้วยสำรับคลาสสิกสำเร็จรูป!","Pelaa valmiiksi luodulla klassikkopakalla!","Chơi với mộ Bộ thẻ Cổ điển đã được tạo sẵn!"
"TID_CLAN_WAR_GAME_MODE_INFO_1V1_MIRROR","You have the exact same deck and starting cards as your opponent!","Vous avez le même deck et les mêmes cartes de départ que votre adversaire !","Du hast das gleiche Deck und die gleiche Starthand wie dein Gegner!","Tienes el mismo mazo y las mismas cartas iniciales que tu oponente.","Tu e il tuo avversario avete lo stesso mazzo e iniziate con le stesse carte!","Je hebt precies dezelfde set gevechtskaarten en beginkaarten als je tegenstander.","Du har akkurat de samme kampkortene og startkortene som motstanderen!","Rakibinle desteleriniz ve başlangıç kartlarınız tamamen aynı!","デッキも最初の手札も、対戦相手とまったく同じです！","상대와 똑같은 덱과 시작 카드로 전투하세요!","У вас с противником одинаковые колоды и начальные карты!","لديك نفس مجموعة المعركة وبطاقات البدء التي لدى خصمك!","Você e o seu adversário têm exatamente o mesmo deck e as mesmas cartas iniciais!","您和您的对手使用一样的卡组进行对战，并且初始卡牌也完全相同！","您和您的對手使用一樣的牌組進行對戰，且初始卡牌也完全相同！","دسته نبرد و کارت‌های شروع تو و حریفت دقیقاً یکسانه!","Dek dan kartu awalmu sama persis dengan lawan!","Anda akan mempunyai dek yang sama dan kad permulaan yang sama seperti pihak lawan anda!","คุณมีการ์ดชุดแรกและสำรับเหมือนกับของคู่ต่อสู้!","Sinulla on sama pakka ja samat aloituskortit kuin vastustajallasi!","Bạn sẽ có bộ thẻ và những thẻ bắt đầu giống hệt với đối thủ!"
"TID_DRAFT_PICK_CHALLENGE","Mega Draft Challenge","Défi Méga tirage","Mega-Auswahl-\nHerausforderung","Desafío de megaelección","Sfida megastrategica","Megakeuze-uitdaging","Mega-utvalgsutfordring","Mega Çekilişli Mücadele","メガドラフトチャレンジ","메가 드래프트 도전","Мегаиспытание с выбором карт","تحدي السحب الهائل","Megadesafio estratégico","超级选卡挑战","超級選卡挑戰","مِگا چالش انتخاب کارت","Tantangan Draf Mega","Cabaran Bertaktik Mega","ความท้าทายดราฟต์เมก้า","Megavaihtoehtohaaste","Thử thách Tuyển chọn Siêu cấp"
"TID_EVENT_ENDS_IN","Ends in: <time>","Fin dans : <time>","Endet in: <time>","Termina en <time>","Scade tra: <time>","Eindigt over: <time>","Slutter om: <time>","Bitmesine: <time>","終了まで：<time>","남은 시간: <time>","До конца <time>","انتهاء بعد: <time>","Termina em: <time>","倒计时:<time>","倒數計時：<time>","اتمام در: <time>","Berakhir: <time>","Tamat: <time>","จบใน: <time>","Päättyy: <time>","K.thúc: <time>"
"TID_EVENT_STARTS_IN","Starts in: <time>","Début dans : <time>","Beginnt in: <time>","Empieza en <time>","Inizia tra: <time>","Begint over: <time>","Starter om: <time>","Başlamasına: <time>","開始まで：<time>","시작까지: <time>","Начало через <time>","يبدأ بعد: <time>","Começa em: <time>","离开始还有：<time>","離開始還有：<time>","شروع پس از: <time>","Dimulai: <time>","Bermula: <time>","เริ่มใน: <time>","Alkaa: <time>","Bắt đầu sau: <time>"
"TID_PVE_START_BUTTON","Start!","Commencer","Los!","Empezar","Inizia!","Starten","Start!","Başla!","開始！","시작!","Начать!","ابدأ!","Começar!","开始！","開始！","شروع!","Mulai!","Mula!","เริ่ม!","Aloita!","Bắt đầu!"
