"Name","Trophies","ItemSWF","ItemExportName","Align","OffsetX","OffsetY","Amount","Spell","SpellAlt","Resource","Chest","EmoteIDHigh","EmoteIDLow","RandomSpell","Token","Consumable","SupportCard","SupportCardAlt","RandomSupportCard","MysteryBox","EvoShard","RulerCard"
"String","int","string","string","string","float","float","int","string","string","string","string","int","int","string","string","string","string","string","string","string","boolean","string"
"Default",50,"sc/ui_trophy_road_milestones.sc","tr_1_1","right",,,20,"Goblins","SpearGoblins",,,,,,,,,,,,,
,100,"sc/ui_trophy_road_milestones.sc","tr_1_2","left",,,1,,,,"Silver_Arena1",,,,,,,,,,,
,150,"sc/ui_trophy_road_milestones.sc","tr_1_3","right",,,6,"GoblinCage","GoblinHut",,,,,,,,,,,,,
,200,"sc/ui_trophy_road_milestones.sc","tr_1_4","left",,,600,,,"Gold",,,,,,,,,,,,
,250,"sc/ui_trophy_road_milestones.sc","tr_1_5","right",,,1,,,,"Silver_Arena1",,,,,,,,,,,
,325,"sc/ui_trophy_road_milestones.sc","tr_2_1","right",,,50,"Skeletons","Bomber",,,,,,,,,,,,,
,400,"sc/ui_trophy_road_milestones.sc","tr_2_2","left",,,1,,,,"Gold_Arena2",,,,,,,,,,,
,450,"sc/ui_trophy_road_milestones.sc","tr_2_3","right",,,10,"Tombstone","Valkyrie",,,,,,,,,,,,,
,500,"sc/ui_trophy_road_milestones.sc","tr_2_4","left",,,800,,,"Gold",,,,,,,,,,,,
,550,"sc/ui_trophy_road_milestones.sc","tr_2_5","right",,,100,,,"Diamonds",,,,,,,,,,,,
,625,"sc/ui_trophy_road_milestones.sc","tr_3_1","right",,,100,"Barbarians","Cannon",,,,,,,,,,,,,
,700,"sc/ui_trophy_road_milestones.sc","tr_3_2","left",,,1,,,,"Silver_Arena3",,,,,,,,,,,
,750,"sc/ui_trophy_road_milestones.sc","tr_3_3","right",,,20,"BattleRam","MegaMinion",,,,,,,,,,,,,
,800,"sc/ui_trophy_road_milestones.sc","tr_3_4","left",,,1000,,,"Gold",,,,,,,,,,,,
,850,"sc/ui_trophy_road_milestones.sc","tr_3_5","right",,,1,,,,"Gold_Arena3",,,,,,,,,,,
,900,"sc/ui_trophy_road_milestones.sc","tr_3_6","left",,,200,,,"Diamonds",,,,,,,,,,,,
,950,"sc/ui_trophy_road_milestones.sc","tr_3_1","right",,,1,,,,"Silver_Arena3",,,,,,,,,,,
,1025,"sc/ui_trophy_road_milestones.sc","tr_5_1","right",,,50,,,,,,,,,"WildcardCommon",,,,,,
,1100,"sc/ui_trophy_road_milestones.sc","tr_5_6","left",,,1,,,,"Gold_Arena4",,,,,,,,,,,
,1150,"sc/ui_trophy_road_milestones.sc","tr_5_3","right",,,40,"InfernoTower","Wizard",,,,,,,,,,,,,
,1200,"sc/ui_trophy_road_milestones.sc","tr_5_4","left",,,1500,,,"Gold",,,,,,,,,,,,
,1250,"sc/ui_trophy_road_milestones.sc","tr_5_5","right",,,200,"FireSpirits","ElectroSpirit",,,,,,,,,,,,,
,1325,"sc/ui_trophy_road_milestones.sc","tr_6_1","right",,,250,"Zap","Bats",,,,,,,,,,,,,
,1400,"sc/ui_trophy_road_milestones.sc","tr_6_2","left",,,1,,,,"Giant_Arena5",,,,,,,,,,,
,1450,"sc/ui_trophy_road_milestones.sc","tr_6_3","right",,,10,,,,,,,,,"WildcardRare",,,,,,
,1500,"sc/ui_trophy_road_milestones.sc","tr_6_4","left",,,2000,,,"Gold",,,,,,,,,,,,
,1550,"sc/ui_trophy_road_milestones.sc","tr_6_5","right",,,50,"HogRider","DartBarrell",,,,,,,,,,,,,
,1625,"sc/ui_trophy_road_milestones.sc","tr_4_1","right",,,50,,,,,,,,,"WildcardCommon",,,,,,
,1700,"sc/ui_trophy_road_milestones.sc","tr_4_2","left",,,150,,,"Diamonds",,,,,,,,,,,,
,1750,"sc/ui_trophy_road_milestones.sc","tr_4_3","right",,,3,"SkeletonArmy","Witch",,,,,,,,,,,,,
,1800,"sc/ui_trophy_road_milestones.sc","tr_4_4","left",,,1,,,,"Gold_Arena6",,,,,,,,,,,
,1850,"sc/ui_trophy_road_milestones.sc","tr_4_5","right",,,4,"GoblinBarrel","SkeletonWarriors",,,,,,,,,,,,,
,1900,"sc/ui_trophy_road_milestones.sc","tr_4_4","left",,,3000,,,"Gold",,,,,,,,,,,,
,1950,"sc/ui_trophy_road_milestones.sc","tr_4_2","right",,,1,,,,"Gold_Arena6",,,,,,,,,,,
,2025,"sc/ui_trophy_road_milestones.sc","tr_7_1","right",,,300,"RoyalGiant","RoyalRecruits",,,,,,,,,,,,,
,2100,"sc/ui_trophy_road_milestones.sc","tr_7_2","left",,,10,,,,,,,,,"WildcardRare",,,,,,
,2150,"sc/ui_trophy_road_milestones.sc","tr_7_3","right",,,60,"ThreeMusketeers","RoyalHogs",,,,,,,,,,,,,
,2200,"sc/ui_trophy_road_milestones.sc","tr_7_4","left",,,1,,,,,15,2,,,,,,,,,
,2250,"sc/ui_trophy_road_milestones.sc","tr_7_5","right",,,2,,,,,,,,,"WildcardEpic",,,,,,
,2325,"sc/ui_trophy_road_milestones.sc","tr_8_1","right",,,300,"IceSpirits","Snowball",,,,,,,,,,,,,
,2400,"sc/ui_trophy_road_milestones.sc","tr_8_2","left",,,1,,,,"Giant_Arena8",,,,,,,,,,,
,2450,"sc/ui_trophy_road_milestones.sc","tr_8_3","right",,,150,,,"Diamonds",,,,,,,,,,,,
,2500,"sc/ui_trophy_road_milestones.sc","tr_8_4","left",,,4000,,,"Gold",,,,,,,,,,,,
,2550,"sc/ui_trophy_road_milestones.sc","tr_8_5","right",,,6,"Freeze","Lightning",,,,,,,,,,,,,
,2625,"sc/ui_trophy_road_milestones.sc","tr_9_1","right",,,50,,,,,,,,,"WildcardCommon",,,,,,
,2700,"sc/ui_trophy_road_milestones.sc","tr_9_2","left",,,1,,,,"Gold_Arena9",,,,,,,,,,,
,2750,"sc/ui_trophy_road_milestones.sc","tr_9_3","right",,,70,"BlowdartGoblin","BarbarianHut",,,,,,,,,,,,,
,2800,"sc/ui_trophy_road_milestones.sc","tr_9_4","left",,,6000,,,"Gold",,,,,,,,,,,,
,2850,"sc/ui_trophy_road_milestones.sc","tr_9_5","right",,,8,"GoblinGiant","Poison",,,,,,,,,,,,,
,2900,"sc/ui_trophy_road_milestones.sc","tr_9_6","left",,,150,,,"Diamonds",,,,,,,,,,,,
,2950,"sc/ui_trophy_road_milestones.sc","tr_9_7","right",,,1,,,,"Giant_Arena9",,,,,,,,,,,
,3025,"sc/ui_trophy_road_milestones.sc","tr_10_1","right",,,400,"AngryBarbarians","MinionHorde",,,,,,,,,,,,,
,3100,"sc/ui_trophy_road_milestones.sc","tr_10_2","left",,,1,,,,"Shop_Small_1_Arena_L",,,,,,,,,,,
,3150,"sc/ui_trophy_road_milestones.sc","tr_10_3","right",,,10,,,,,,,,,"WildcardRare",,,,,,
,3200,"sc/ui_trophy_road_milestones.sc","tr_10_4","left",,,6000,,,"Gold",,,,,,,,,,,,
,3250,"sc/ui_trophy_road_milestones.sc","tr_10_5","right",,,12,"Golem","Hunter",,,,,,,,,,,,,
,3300,"sc/ui_trophy_road_milestones.sc","tr_10_6","left",,,6000,,,"Gold",,,,,,,,,,,,
,3350,"sc/ui_trophy_road_milestones.sc","tr_10_7","right",,,2,,,,,,,,,"WildcardEpic",,,,,,
,3425,"sc/ui_trophy_road_milestones.sc","tr_11_1","right",,,150,,,"Diamonds",,,,,,,,,,,,
,3500,"sc/ui_trophy_road_milestones.sc","tr_11_2","left",,,1,,,,"Legendary_Arena_Electric",,,,,,,,,,,
,3550,"sc/ui_trophy_road_milestones.sc","tr_11_3","right",,,1,,,,"Giant_Arena_Electric",,,,,"WildcardRare",,,,,,
,3600,"sc/ui_trophy_road_milestones.sc","tr_11_4","left",,,8000,,,"Gold",,,,,,,,,,,,
,3650,"sc/ui_trophy_road_milestones.sc","tr_11_5","right",,,1,,,,"Legendary_Arena_Electric",,,,,,,,,,,
,3700,"sc/ui_trophy_road_milestones.sc","tr_11_6","left",,,8000,,,"Gold",,,,,,,,,,,,
,3750,"sc/ui_trophy_road_milestones.sc","tr_11_7","right",,,1,,,,"Legendary_Arena_Electric",,,,,,,,,,,
,3825,"sc/ui_trophy_road_milestones.sc","tr_12_1","right",,,50,,,,,,,,,"WildcardCommon",,,,,,
,3900,"sc/ui_trophy_road_milestones.sc","tr_12_2","left",,,8000,,,"Gold",,,,,,,,,,,,
,3950,"sc/ui_trophy_road_milestones.sc","tr_12_3","right",,,15,"Wallbreakers","ElectroDragon",,,,,,,,,,,,,
,4000,"sc/ui_trophy_road_milestones.sc","tr_12_4","left",,,1,,,,,18,3,,,,,,,,,
,4050,"sc/ui_trophy_road_milestones.sc","tr_12_5","right",,,150,,,"Diamonds",,,,,,,,,,,,
,4100,"sc/ui_trophy_road_milestones.sc","tr_12_6","left",,,10000,,,"Gold",,,,,,,,,,,,
,4150,"sc/ui_trophy_road_milestones.sc","tr_12_7","right",,,1,,,,"Shop_Large_Legendary_Arena_T",,,,,,,,,,,
,4225,"sc/ui_trophy_road_milestones.sc","tr_13_1","right",,,600,"Firecracker","Rascals",,,,,,,,,,,,,
,4300,"sc/ui_trophy_road_milestones.sc","tr_13_10","left",,,1,,,,"Shop_Small_1_Arena13",,,,,,,,,,,
,4350,"sc/ui_trophy_road_milestones.sc","tr_13_9","right",,,10000,,,"Gold",,,,,,,,,,,,
,4400,"sc/ui_trophy_road_milestones.sc","tr_13_4","left",,,20,"Bowler","ElectroGiant",,,,,,,,,,,,,
,4450,"sc/ui_trophy_road_milestones.sc","tr_13_5","right",,,10000,,,"Gold",,,,,,,,,,,,
,4500,"sc/ui_trophy_road_milestones.sc","tr_13_6","left",,,5,,,,,,,,,"WildcardEpic",,,,,,
,4550,"sc/ui_trophy_road_milestones.sc","tr_13_7","right",,,1,,,,"Giant_Arena13",,,,,,,,,,,
,4625,"sc/ui_trophy_road_milestones.sc","tr_14_1","right",,,100,,,,,,,,,"WildcardCommon",,,,,,
