"Name","Trophies","ItemSWF","ItemExportName","Align","OffsetX","OffsetY","Amount","Spell","SpellAlt","Resource","Chest","EmoteIDHigh","EmoteIDLow","RandomSpell","Token","Consumable","SupportCard","SupportCardAlt","RandomSupportCard","MysteryBox","EvoShard","RulerCard"
"String","int","string","string","string","float","float","int","string","string","string","string","int","int","string","string","string","string","string","string","string","boolean","string"
"GoblinRoad",100,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_gm_2_4","right",,,1,,,,"Goblin_Hay_Arena_T",,,,,,,,,,,
,200,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_gm_2_1","left",,,40,"GoblinDemolisher",,,,,,,,,,,,,,
,300,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_gm_2_2","right",,,1,,,,"Goblin_Horns_Arena_T",,,,,,,,,,,
,400,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_gm_2_3","left",,,1,,,,,306,0,,,,,,,,,
,500,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_gm_2_4","right",,,1,,,,"Goblin_Hay_Arena_T",,,,,,,,,,,
,600,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_gm_2_5","left",,,60,"GoblinDemolisher",,,,,,,,,,,,,,
,700,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_gm_2_2","right",,,1,,,,"Goblin_Horns_Arena_T",,,,,,,,,,,
,800,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_gm_2_1","left",,,100,"GoblinDemolisher",,,,,,,,,,,,,,
,900,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_gm_2_4","right",,,1,,,,"Goblin_Gem_Arena_T",,,,,,,,,,,
,1100,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_mp_1_1","right",,,1,,,,"Goblin_Hay_Arena14",,,,,,,,,,,
,1200,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_mp_1_2","left",,,5,"GoblinCurse",,,,,,,,,,,,,,
,1300,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_mp_1_3","right",,,1,,,,"Goblin_Horns_Arena14",,,,,,,,,,,
,1400,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_mp_1_4","left",,,1,,,,,305,0,,,,,,,,,
,1500,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_mp_1_5","right",,,1,,,,"Goblin_Hay_Arena14",,,,,,,,,,,
,1600,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_mp_1_2","left",,,10,"GoblinCurse",,,,,,,,,,,,,,
,1700,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_mp_1_1","right",,,1,,,,"Goblin_Horns_Arena14",,,,,,,,,,,
,1800,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_mp_1_4","left",,,25,"GoblinCurse",,,,,,,,,,,,,,
,1900,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_mp_1_3","right",,,1,,,,"Goblin_Gem_Arena14",,,,,,,,,,,
,2100,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_sy_3_2","right",,,1,,,,"Goblin_Hay_Arena_L1",,,,,,,,,,,
,2200,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_sy_3_3","left",,,1,"GoblinMachine",,,,,,,,,,,,,,
,2300,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_sy_3_4","right",,,1,,,,"Goblin_Horns_Arena_L1",,,,,,,,,,,
,2400,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_sy_3_5","left",,,1,,,,,304,0,,,,,,,,,
,2500,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_sy_3_2","right",,,1,,,,"Goblin_Hay_Arena_L1",,,,,,,,,,,
,2600,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_sy_3_1","left",,,1,"GoblinMachine",,,,,,,,,,,,,,
,2700,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_sy_3_4","right",,,1,,,,"Goblin_Horns_Arena_L1",,,,,,,,,,,
,2800,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_sy_3_3","left",,,2,"GoblinMachine",,,,,,,,,,,,,,
,2900,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_sy_3_2","right",,,1,,,,"Goblin_Gem_Arena_L1",,,,,,,,,,,
,3100,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_cb_4_2","right",,,1,,,,"Goblin_Hay_Arena_L1",,,,,,,,,,,
,3200,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_cb_4_3","left",,,100,"SuspiciousBush",,,,,,,,,,,,,,
,3300,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_cb_4_4","right",,,1,,,,"Magic_Arena_L1",,,,,,,,,,,
,3400,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_cb_4_1","left",,,1,,,,,307,0,,,,,,,,,
,3500,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_cb_4_5","right",,,1,,,,"Goblin_Horns_Arena_L1",,,,,,,,,,,
,3600,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_cb_4_3","left",,,200,"SuspiciousBush",,,,,,,,,,,,,,
,3700,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_cb_4_2","right",,,1,,,,"Magic_Arena_L1",,,,,,,,,,,
,3800,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_cb_4_3","left",,,400,"SuspiciousBush",,,,,,,,,,,,,,
,3900,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_cb_4_4","right",,,1,,,,"Goblin_Gem_Arena_L1",,,,,,,,,,,
,4000,"sc/ui_trophy_road_milestones_goblin.sc","tr_goblin_qp_z_1","right",,,1,,,,"Shop_Large_Legendary_Arena_L1",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Royals_2v2",1,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_1","right",,,800,,,,,,,,,"SeasonalToken",,,,,,
,2,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,800,,,,,,,,,"SeasonalToken",,,,,,
,3,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_3","right",,,800,,,,,,,,,"SeasonalToken",,,,,,
,4,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_4","left",,,1,,,,"GoldCage_Medium",,,,,,,,,,,
,5,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_5","right",,,1000,,,,,,,,,"SeasonalToken",,,,,,
,6,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,1000,,,,,,,,,"SeasonalToken",,,,,,
,7,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_1","right",,,1000,,,,,,,,,"SeasonalToken",,,,,,
,8,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_4","left",,,1000,,,,,,,,,"SeasonalToken",,,,,,
,9,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_3","right",,,1,,,,"GoldCage_Medium",,,,,,,,,,,
,10,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,1000,,,,,,,,,"SeasonalToken",,,,,,
,11,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_1","right",,,1000,,,,,,,,,"SeasonalToken",,,,,,
,12,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,1000,,,,,,,,,"SeasonalToken",,,,,,
,13,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_3","right",,,1000,,,,,,,,,"SeasonalToken",,,,,,
,14,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_4","left",,,1,,,,"GoldCage_Medium",,,,,,,,,,,
,15,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_5","right",,,1300,,,,,,,,,"SeasonalToken",,,,,,
,16,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_4","left",,,1300,,,,,,,,,"SeasonalToken",,,,,,
,17,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_3","right",,,1300,,,,,,,,,"SeasonalToken",,,,,,
,18,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,1300,,,,,,,,,"SeasonalToken",,,,,,
,19,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_1","right",,,1,,,,"GoldCage_Large",,,,,,,,,,,
,20,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_4","left",,,1600,,,,,,,,,"SeasonalToken",,,,,,
,21,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_3","right",,,1600,,,,,,,,,"SeasonalToken",,,,,,
,22,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,1600,,,,,,,,,"SeasonalToken",,,,,,
,23,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_5","right",,,1600,,,,,,,,,"SeasonalToken",,,,,,
,24,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,1,,,,"GoldCage_Large",,,,,,,,,,,
,25,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_3","right",,,2000,,,,,,,,,"SeasonalToken",,,,,,
,26,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_4","left",,,2000,,,,,,,,,"SeasonalToken",,,,,,
,27,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_1","right",,,2000,,,,,,,,,"SeasonalToken",,,,,,
,28,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,2000,,,,,,,,,"SeasonalToken",,,,,,
,29,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_3","right",,,1,,,,,329,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Royals_2v2_2025",1,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_1","right",,,200,"Bomber",,,,,,,,,,,,,,
,2,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,50,"GoblinCage",,,,,,,,,,,,,,
,3,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_3","right",,,8,"Bowler",,,,,,,,,,,,,,
,4,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_4","left",,,8,"AxeMan",,,,,,,,,,,,,,
,5,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_5","right",,,8,"Tornado",,,,,,,,,,,,,,
,6,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,8,"Freeze",,,,,,,,,,,,,,
,7,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_1","right",,,1,"Graveyard",,,,,,,,,,,,,,
,8,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_4","left",,,1,"Phoenix",,,,,,,,,,,,,,
,9,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_3","right",,,1,,,,"GoldCage_Large_<max_arena>",,,,,,,,,,,
,10,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,200,"Bomber",,,,,,,,,,,,,,
,11,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_1","right",,,8,"Rage",,,,,,,,,,,,,,
,12,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,8,"Lightning",,,,,,,,,,,,,,
,13,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_3","right",,,1,"Fisherman",,,,,,,,,,,,,,
,14,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_4","left",,,1,"RamRider",,,,,,,,,,,,,,
,15,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_5","right",,,1,"Phoenix",,,,,,,,,,,,,,
,16,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_4","left",,,1,"MegaKnight",,,,,,,,,,,,,,
,17,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_3","right",,,1,"Goblinstein",,,,,,,,,,,,,,
,18,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,1,,,,"GoldCage_Large_<max_arena>",,,,,,,,,,,
,19,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_1","right",,,100,,,,,,,,,"WildcardCommon",,,,,,
,20,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_4","left",,,100,,,,,,,,,"WildcardCommon",,,,,,
,21,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_3","right",,,100,,,,,,,,,"WildcardCommon",,,,,,
,22,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,25,,,,,,,,,"WildcardRare",,,,,,
,23,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_5","right",,,25,,,,,,,,,"WildcardRare",,,,,,
,24,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,4,,,,,,,,,"WildcardEpic",,,,,,
,25,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_3","right",,,4,,,,,,,,,"WildcardEpic",,,,,,
,26,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_4","left",,,1,,,,,,,,,"WildcardLegendary",,,,,,
,27,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_1","right",,,1,,,,,,,,,"WildcardChampion",,,,,,
,28,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_2","left",,,2500,,,,,,,,,"WildcardElite",,,,,,
,29,"sc/ui_trophy_road_milestones_royals2v2.sc","tr_royals2v2_mp_1_3","right",,,1,,,,,358,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Classic",1,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_1","right",5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,2,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_2","left",-5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,3,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_3","right",5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,4,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_4","left",-5,0,1,,,,"GoldCage_Medium",,,,,,,,,,,
,5,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_5","right",5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,6,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_2","left",-5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,7,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_1","right",5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,8,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_4","left",-5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,9,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_3","right",5,0,1,,,,"GoldCage_Medium",,,,,,,,,,,
,10,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_2","left",-5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,11,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_1","right",5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,12,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_2","left",-5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,13,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_3","right",5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,14,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_4","left",-5,0,1,,,,"GoldCage_Medium",,,,,,,,,,,
,15,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_5","right",5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,16,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_4","left",-5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,17,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_3","right",5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,18,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_2","left",-5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,19,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_1","right",5,0,1,,,,"GoldCage_Large",,,,,,,,,,,
,20,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_4","left",-5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,21,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_3","right",5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,22,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_2","left",-5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,23,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_5","right",5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,24,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_2","left",-5,0,1,,,,"GoldCage_Large",,,,,,,,,,,
,25,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_3","right",5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,26,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_4","left",-5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,27,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_1","right",5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,28,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_2","left",-5,0,1000,,,,,,,,,"SeasonalToken",,,,,,
,29,"sc/ui_trophy_road_milestones_classictrail.sc","tr_classictrail_mp_1_3","right",5,0,1,,,,,365,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"UndeadMarch",1,"sc/ui_trophy_road_milestones_undeadmarch.sc","tr_witchtrail_mp_1_1","right",,,,,,,,,,,,,,,,"CommonLuckyDrop",,
,2,"sc/ui_trophy_road_milestones_undeadmarch.sc","tr_witchtrail_mp_1_2","left",,,,,,,"GoldCage_Small_<max_arena>",,,,,,,,,,,
,3,"sc/ui_trophy_road_milestones_undeadmarch.sc","tr_witchtrail_mp_1_3","right",,,,,,,,,,,,,,,,"CommonLuckyDrop",,
